ImageID,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
0016a719395bc945,train,https://farm6.staticflickr.com/8199/8194880720_c30524d228_o.jpg,https://www.flickr.com/photos/otwarteklatki/8194880720/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/otwarteklatki/,Otwarte Klatki,0115,555452,ZUkMbVBlXPFQ5mrtK7Kn9A==,https://c8.staticflickr.com/9/8199/8194880720_f8a9a742ff_z.jpg,0.0
00046a9adb6776ad,train,https://c6.staticflickr.com/5/4149/4961015376_d07049b7f6_o.jpg,https://www.flickr.com/photos/paulsimpson1976/4961015376,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/paulsimpson1976/,Paul Simpson,Domaso - 7,7537792,VmJL7yt8JueDdL52G7nw8A==,https://c5.staticflickr.com/5/4149/4961015376_37c6b1c8b3_z.jpg,0.0
00168ee88d966565,train,https://farm6.staticflickr.com/3546/3385085384_1f3338d156_o.jpg,https://www.flickr.com/photos/utahdarkhorse/3385085384,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/utahdarkhorse/,TexasDarkHorse,Playing with the dogs.,491703,T3u5hTmsGQDIr+bZ7ooIiQ==,https://c6.staticflickr.com/4/3546/3385085384_b5b4feda8d_z.jpg,0.0
001175fd73c3039b,train,https://c4.staticflickr.com/1/41/78007904_0cfdc0ef25_o.jpg,https://www.flickr.com/photos/vmos/78007904,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/vmos/,J,Felix and Penguin,25468,hG8zI3n9QiODdK9CgRPyKg==,,
00072e3556ad7e81,train,https://farm2.staticflickr.com/7263/7442078922_6d3167390a_o.jpg,https://www.flickr.com/photos/oldrebel/7442078922,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/oldrebel/,Donald Lee Pardue,Tit for tat,475047,gRAgusdOtseXlMbuML6BYg==,https://c3.staticflickr.com/8/7263/7442078922_c0e7779132_z.jpg,0.0
0019757ca6f64107,train,https://farm8.staticflickr.com/2641/4171809434_1eb264e661_o.jpg,https://www.flickr.com/photos/konny/4171809434,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/konny/,Kornelia Haslbeck,Ich lieg hier einfach nur so rum...,2859767,KBqLngaubD+meKgpPuOOOg==,https://c7.staticflickr.com/3/2641/4171809434_7247cefbbc_z.jpg,
001585b6966faee0,train,https://farm1.staticflickr.com/5105/5670980786_10a0c69129_o.jpg,https://www.flickr.com/photos/m0rjc/5670980786,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/m0rjc/,Richard Corfield,The Bilton Peacock,782111,rXDDyx4rEuwxqC3cQlZvQA==,https://c5.staticflickr.com/6/5105/5670980786_36f57843fc_z.jpg,0.0
001c3e16fa23bdc1,train,https://farm2.staticflickr.com/3858/14860065590_ed07c48565_o.jpg,https://www.flickr.com/photos/125013567@N04/14860065590,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/125013567@N04/,taylorderek71,Gannet,2867533,AFKSa13xTdpm0oTEEyeh6g==,https://c3.staticflickr.com/4/3858/14860065590_bc41d97ae9_z.jpg,0.0
001a64b9a9259f3e,train,https://c7.staticflickr.com/8/7083/7359323034_dcc1a42573_o.jpg,https://www.flickr.com/photos/lesotho/7359323034,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/lesotho/,Di Jones,215.jpg,790943,LJNBlFM2r1OdGl1b9YiZNA==,https://c1.staticflickr.com/8/7083/7359323034_f8fac9bf4e_z.jpg,0.0
00183d5202f5f9de,train,https://c7.staticflickr.com/8/7394/16559440061_bc94986d8f_o.jpg,https://www.flickr.com/photos/adamswiatkowski/16559440061,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/adamswiatkowski/,Adam Świątkowski,DSC_0148,6082932,PdATyKxFuf12vO0nYfjCrg==,https://c6.staticflickr.com/8/7394/16559440061_ce88f2ee9f_z.jpg,0.0
